Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under-five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness__1-19_years,thinness_5-9_years,Income_composition_of_resources,Schooling
Afghanistan,1.4563457440174026,Developing,-1.339989218491622,1.091560277150759,1.6343596734438983,-1.1519222458783323,-0.4604832774729094,-1.0390995067027609,-0.13670862162235656,-1.0684603383988973,1.6298725633830875,-2.6862522255841963,0.9984627638622698,-2.3838056295989314,-0.3754773823108863,-0.5522414577202268,-0.3981273745418706,3.596110873668523,3.5339798980251684,-1.3049829081038038,-0.8787732667892824
Afghanistan,1.2123922302162824,Developing,-1.339989218491622,1.0628816148884666,1.700892452803686,-1.1519222458783323,-0.4608166409103058,-0.9436504830514943,-0.15683940700484317,-1.0939951663565868,1.7041338695157084,-2.343317925279526,0.97546106437726,-2.210139324624479,-0.3754773823108863,-0.5494618653030742,0.9149855936495459,3.6505890837965556,3.5878257728422693,-1.3475688138412931,-0.9165781595445072
Afghanistan,0.9684387164151624,Developing,-1.391708839159117,1.10111983123819,1.8006916218433673,-1.1519222458783323,-0.4553781642662129,-0.8004769475745945,0.6084551276164627,-1.1195299943142765,1.8031489443592028,-1.914650049898689,1.1548743203603398,-1.9496398671628012,-0.3754773823108863,-0.5438855929856928,-0.25724225205779405,3.7050672939245883,3.6685945850679214,-1.3972523705350302,-0.954383052299732
Afghanistan,0.7244852026140424,Developing,-1.4304985546597382,1.1297984935004826,1.867224401203155,-1.1519222458783323,-0.5332447713208535,-0.7527524357489613,0.6818350872364946,-1.1399578566804283,1.9021640192026972,-1.8289164748225215,0.855852227055206,-1.8628067146755753,-0.3754773823108863,-0.6323759577568074,-0.28727929621746595,3.786784609116638,3.7224404598850227,-1.4611312291412641,-1.067797730565407
Afghanistan,0.4805316888129223,Developing,-1.482218175327234,1.168036709850206,1.9670235702428363,-1.1519222458783323,-0.4537404211716322,-0.8482014594002278,0.3493524383386511,-1.1654926846381177,2.0259328627570654,-2.0003836249748566,1.46769743335648,-2.0364730196500274,-0.3754773823108863,-0.5609045014092738,-0.291269634193667,3.8412628192446707,3.7762863347021236,-1.5037171348787535,-1.181212408831082
Afghanistan,0.2365781750118022,Developing,-1.5080779856609812,1.1871558180250679,2.0668227392825176,-1.1519222458783323,-0.4788431555679923,-0.9913749948771275,0.6324821940407209,-1.1910275125958074,2.12494793760056,-2.257584350203359,1.5689049110905255,-2.2969724771117055,-0.3754773823108863,-0.576581740658988,-0.39993584662470094,3.895741029372705,3.8570551469277756,-1.6030842482662284,-1.2946270870967564
Afghanistan,-1.7150499353971584,Developing,-1.9347648561678175,1.5217402110851481,2.432753025761349,-1.1519222458783323,-0.5294354950143414,-0.9913749948771275,2.548478396331907,-1.3748782738911722,2.5210082369745375,-4.6581244523360485,0.8236498477761915,-4.9019670517284855,-0.3754773823108863,-0.6245020354867649,-0.2877867438417343,-0.5987113061900183,-0.5313836506659746,-2.27026343815356,-2.428773869753505
Afghanistan,-1.9590034491982784,Developing,-1.9994143820021864,1.5695379815223025,2.432753025761349,-1.1519222458783323,-0.5295995464455635,-1.0390995067027609,1.8244195027360175,-1.395306136257324,2.5210082369745375,-5.60119377817389,1.0076634436562737,-5.683465424113519,-0.3754773823108863,-0.6249306059055907,-0.399541755172927,-0.5442330960619853,-0.504460713257424,-2.2844587400660563,-2.5799934407744045
Albania,1.7002992578185225,Developing,0.9744638063787893,-0.7916718780731216,-0.49468926606930436,-0.005379231046936559,-0.14123620215458588,0.7267074308456697,-0.29645614433499234,0.9436841046670427,-0.4989515457520432,0.8288243525386704,-0.004411333684179596,0.8290210124284306,-0.3754773823108863,-0.06463804345865411,-0.4106174184111496,-0.8438632517661667,-0.8275359621600314,0.7249452653831843,0.709032228930165
Albania,1.4563457440174026,Developing,0.9356740908781682,-1.4226024478435588,-0.49468926606930436,-0.02786046663186585,-0.07138032210237213,0.6789829190200364,-0.29645614433499234,0.9028283799347395,-0.4741977770411696,0.743090777462503,-0.05961541244820439,0.7421878599412046,-0.3754773823108863,0.026057816031993294,-0.39974421573626806,-0.8438632517661667,-0.8275359621600314,0.7178476144269361,0.709032228930165
Albania,1.2123922302162824,Developing,0.8968843753775472,-0.6960763371988129,-0.49468926606930436,0.03458740999293784,-0.06904947376541272,0.7267074308456697,-0.29645614433499234,0.8670796207939739,-0.4741977770411696,0.8288243525386704,-0.16082289018224966,0.8290210124284306,-0.3754773823108863,0.0025584195319209276,-0.39971586623979033,-0.8166241467021503,-0.8006130247514808,0.7036523125144396,0.709032228930165
Albania,0.9684387164151624,Developing,0.8580946598769261,-0.6769572290239512,-0.49468926606930436,0.12950818246263943,-0.08924109057404613,0.7267074308456697,-0.29353393355366364,0.8313308616532084,-0.4741977770411696,0.8288243525386704,-0.19302526946126422,0.8290210124284306,-0.3754773823108863,-0.021826449027849824,-0.4117017239312985,-0.8166241467021503,-0.8006130247514808,0.6539687558207021,0.709032228930165
Albania,0.7244852026140424,Developing,0.8193049443763033,-0.6578381208490894,-0.49468926606930436,0.18696022895745892,-0.062274483918716206,0.7267074308456697,-0.28736482190419194,0.7955821025124431,-0.4741977770411696,0.8288243525386704,-0.13782119069723942,0.8290210124284306,-0.3754773823108863,0.005835180076004149,-0.39948158566639086,-0.7893850416381338,-0.7736900873429301,0.5546016424332272,0.36878819413314107
Albania,0.4805316888129223,Developing,0.7675853237088092,-0.6291594585867969,-0.46142287638941054,0.16447899337252964,-0.495207375302137,0.7267074308456697,-0.29320924346684935,0.7547263777801395,-0.4741977770411696,0.8288243525386704,-0.3080337668863158,0.8290210124284306,-0.3754773823108863,-0.5695095460073876,-0.3996435708424304,-0.7893850416381338,-0.7736900873429301,0.4623321800020003,0.06634905209134126
Albania,0.2365781750118022,Developing,0.7546554185419342,-0.6291594585867969,-0.46142287638941054,0.2918726616871291,-0.15976905229963903,0.6789829190200364,-0.29645614433499234,0.7138706530478364,-0.4741977770411696,0.743090777462503,-0.10101847152122288,0.7421878599412046,-0.3754773823108863,-0.04130382090301519,-0.28941512553912274,-0.7621459365741173,-0.7467671499343795,0.43394157617700746,-0.04706562617433384
Albania,-0.007375338789317871,Developing,0.6512161772069441,-1.4895193264555748,-0.46142287638941054,0.24691019051727053,-0.500904048101423,0.7267074308456697,-0.29645614433499234,0.6679079627239951,-0.4741977770411696,0.8288243525386704,-0.06421575234520635,0.8290210124284306,-0.3754773823108863,-0.5778007233095128,-0.2885874289568558,-0.7349068315101008,-0.7467671499343795,0.3771603685270217,-0.12267541168478346
Albania,-0.25132885259043797,Developing,0.7287956082081881,-1.413042893756128,-0.46142287638941054,0.23941644532229403,-0.5056968525153389,0.6789829190200364,-0.2893129624250777,0.621945272400154,-0.4741977770411696,0.8288243525386704,0.04159206528584086,0.7421878599412046,-0.3754773823108863,-0.5886577389759824,-0.41058212788751064,-0.7349068315101008,-0.7198442125258289,0.3061838589645396,-0.27389498270568335
